cities,neighborhoods,saleDates,addresses,helka,kinds,rooms,floors,sizes,prices,changes
אור עקיבא,אור עקיבא הותיקה,09.05.2014,בלפור 641,10622-144-16,דירה בבית קומות,3,שלישית,51.70,"505,000", 
אור עקיבא,אור עקיבא הותיקה,31.03.2014,חללי דקר 645,10646-198-12,דירה בבית קומות,3,שניה,53.10,"540,000", 
אור עקיבא,אור עקיבא הותיקה,09.02.2014,הרצל 196,10622-41-37,דירה בבית קומות,3,שלישית,56,"440,000", 
אור עקיבא,אור עקיבא הותיקה,23.10.2013,הרצל 196,10622-41-38,דירה בבית קומות,3,ראשונה,56,"460,000", 
אור עקיבא,אור עקיבא הותיקה,09.10.2013, ,10622-87-1,קוטג' דו משפחתי,5, ,160,"1,550,000", 
אור עקיבא,אור עקיבא הותיקה,05.08.2013, ,10639-62-1,קוטג' דו משפחתי,5, ,160,"1,200,000", 
אור עקיבא,אור עקיבא הותיקה,20.06.2013,הנשיא וייצמן 202,10622-178-18,דירה בבית קומות,3,קרקע,50.80,"572,000", 
אור עקיבא,אור עקיבא הותיקה,25.04.2013,הנשיא וייצמן 203,10622-178-28,דירה בבית קומות,3,ראשונה,50.80,"500,000", 
אור עקיבא,אור עקיבא הותיקה,17.04.2013,,10646-194-10,דירה בבית קומות,3,שניה,53.10,"490,000",48% ב 3.1 שנים
אור עקיבא,אור עקיבא הותיקה,27.01.2013,חללי דקר 647,10646-196-5,דירה בבית קומות,3,ראשונה,53.10,"500,000", 
אור עקיבא,אור עקיבא הותיקה,29.11.2012,חללי דקר 646,10646-197-14,דירה בבית קומות,5,קרקע,111.80,"850,000", 
אור עקיבא,אור עקיבא הותיקה,27.08.2012,בלפור 641,10622-144-14,דירה בבית קומות,3,שלישית,51.70,"400,000", 
אור עקיבא,אור עקיבא הותיקה,24.07.2012, ,10622-96-1,קוטג' חד משפחתי,4, ,100,"800,000", 
אור עקיבא,אור עקיבא הותיקה,18.07.2012,הנשיא וייצמן 199,10622-45-9,דירה בבית קומות,2,שניה,54,"175,000", 
אור עקיבא,אור עקיבא הותיקה,03.04.2012, ,10622-71-1,קוטג' דו משפחתי,3,ראשונה,97,"108,000", 
אור עקיבא,אור עקיבא הותיקה,29.11.2011, ,10639-31-1,קוטג' דו משפחתי,3,ראשונה,110,"139,000", 
אור עקיבא,אור עקיבא הותיקה,31.10.2011,ז'בוטינסקי 18,10646-189-1,קוטג' דו משפחתי,5,קרקע,120,"1,250,000", 
אור עקיבא,אור עקיבא הותיקה,12.09.2011,הנשיא וייצמן 197,10622-42-9,דירה בבית קומות,4,ראשונה,77,"610,000", 
אור עקיבא,אור עקיבא הותיקה,23.12.2010, ,10622-160-1,קוטג' חד משפחתי,3,ראשונה,80,"700,000", 
אור עקיבא,אור עקיבא הותיקה,25.11.2010,חללי דקר 646,10646-197-9,דירה בבית קומות,4,ראשונה,108.40,"720,000", 
אור עקיבא,אור עקיבא הותיקה,16.11.2010,"רמב""ם 10",10622-58-1,קוטג' דו משפחתי,5, ,150,"1,340,000", 
אור עקיבא,אור עקיבא הותיקה,30.08.2010,חללי דקר 645,10646-198-13,דירה בבית קומות,3,שלישית,53.10,"310,000", 
אור עקיבא,אור עקיבא הותיקה,07.07.2010,חללי דקר 648,10646-195-22,דירה בבית קומות,3,ראשונה,110,"400,000", 
אור עקיבא,אור עקיבא הותיקה,24.03.2010,חללי דקר 646,10646-197-15,דירה בבית קומות,3,ראשונה,108.40,"450,000", 
אור עקיבא,אור עקיבא הותיקה,02.02.2010,הרב קוק 10,10646-55-1,קוטג' דו משפחתי,6, ,172,"900,000", 
אור עקיבא,אור עקיבא הותיקה,01.01.2010,עשרת הרוגי מלכות 4,10639-124-1,דירה בבית קומות,5, ,140,"1,222,000", 
אור עקיבא,אור עקיבא הותיקה,24.09.2009,,10622-87-2,קוטג' דו משפחתי,5,ראשונה,189,"850,000", 
אור עקיבא,אור עקיבא הותיקה,19.08.2009,,10646-194-13,דירה בבית קומות,3,שלישית,53.10,"230,000", 
אור עקיבא,אור עקיבא הותיקה,21.05.2009,,10639-135-2,חנות,0,קרקע,24.29,"196,000", 
אור עקיבא,אור עקיבא הותיקה,22.02.2009,איחוד העם 640,10622-145-1,דירה בבית קומות,3,קרקע,31.90,"258,000", 
אור עקיבא,אור עקיבא הותיקה,09.02.2009,בלפור 195,10622-176-22,דירה בבית קומות,3,ראשונה,49.60,"155,000", 
אור עקיבא,אור עקיבא הותיקה,01.09.2008,הרב מלול יוסף 609,10622-88-1,קוטג' חד משפחתי,5, ,120,"289,274", 
אור עקיבא,אור עקיבא הותיקה,25.08.2008,חללי דקר 646,10646-197-11,דירה בבית קומות,3,שניה,73.90,"230,000", 
אור עקיבא,אור עקיבא הותיקה,07.07.2008, ,10615-135-1,בית בודד,3,ראשונה,85,"759,000", 
אור עקיבא,אור עקיבא הותיקה,05.06.2008, ,10622-63-1,קוטג' חד משפחתי,7, ,160,"599,000", 
אור עקיבא,אור עקיבא הותיקה,17.04.2008,,10646-194-17,דירה בבית קומות,3,שניה,60,"130,000", 
אור עקיבא,אור עקיבא הותיקה,09.04.2008, ,10639-29-1,קוטג' דו משפחתי,3,ראשונה,80,"269,000", 
אור עקיבא,אור עקיבא הותיקה,05.02.2008,בלפור 195,10622-176-18,דירה בבית קומות,3,שניה,50.50,"119,000", 
אור עקיבא,אור עקיבא הותיקה,24.12.2007,הנשיא וייצמן 203,10622-178-29,דירה בבית קומות,4.5, ,100,"420,000", 
אור עקיבא,אור עקיבא הותיקה,19.12.2007,הרצל 25,10615-77-1,קוטג' דו משפחתי,1.5,ראשונה,28,"560,000", 
